filename	bam_id	indexing_id	sample_id	Count	batch
WTCHG_406782_201191	406782	201191	JIA00016	3325625	2
WTCHG_406782_202179	406782	202179	OAS00005	3213099	2
WTCHG_406782_203167	406782	203167	BHM00118	6425504	2
WTCHG_406782_204155	406782	204155	OAS00019	2866441	2
WTCHG_406782_205143	406782	205143	OAS00035	2809013	2
WTCHG_406782_206131	406782	206131	NCL00001	3311515	2
WTCHG_406782_207119	406782	207119	OAS00023	3481378	2
WTCHG_406782_208107	406782	208107	JIA00062	3147324	2
WTCHG_406782_209190	406782	209190	OAS00013	3369984	2
WTCHG_406782_210178	406782	210178	ORA00001	3107836	2
WTCHG_406782_211166	406782	211166	BHM00127	3397959	2
WTCHG_406782_212154	406782	212154	OAS00022	2432606	2
WTCHG_406782_213142	406782	213142	ORA00013	3274120	2
WTCHG_406782_214130	406782	214130	NCL00003	6829233	2
WTCHG_406782_215118	406782	215118	OAS00037	2635995	2
WTCHG_406782_216106	406782	216106	JIA00063	992671	2
WTCHG_406782_217189	406782	217189	JIA00001	2847379	2
WTCHG_406782_218177	406782	218177	JIA00034	754	2
WTCHG_406782_219165	406782	219165	BHM00130	3318494	2
WTCHG_406782_220153	406782	220153	OAS00040	3009631	2
WTCHG_406782_221141	406782	221141	ORA00019	3697849	2
WTCHG_406782_222129	406782	222129	NCL00004	3506161	2
WTCHG_406782_223117	406782	223117	OAS00049	3595746	2
WTCHG_406782_224105	406782	224105	NCL00023	3905088	2
WTCHG_406782_225188	406782	225188	JIA00026	3309635	2
WTCHG_406782_226176	406782	226176	JIA00035	3227265	2
WTCHG_406782_227164	406782	227164	BHM00131	2944245	2
WTCHG_406782_228152	406782	228152	ORA00004	3888415	2
WTCHG_406782_229140	406782	229140	ORA00022	3875133	2
WTCHG_406782_230128	406782	230128	OAS00024	3172147	2
WTCHG_406782_231116	406782	231116	OAS00052	3251709	2
WTCHG_406782_232104	406782	232104	NCL00024	3582770	2
WTCHG_406782_233187	406782	233187	JIA00027	3208616	2
WTCHG_406782_234175	406782	234175	JIA00037	3336877	2
WTCHG_406782_235163	406782	235163	BHM00132	4107003	2
WTCHG_406782_236151	406782	236151	ORA00007	3331978	2
WTCHG_406782_237139	406782	237139	ORA00028	3549153	2
WTCHG_406782_238127	406782	238127	OAS00028	3753355	2
WTCHG_406782_239115	406782	239115	OAS00053	3030062	2
WTCHG_406782_240103	406782	240103	NCL00025	3038710	2
WTCHG_406782_241186	406782	241186	OAS00014	3623304	2
WTCHG_406782_242174	406782	242174	JIA00043	3307466	2
WTCHG_406782_243162	406782	243162	JIA00029	4255661	2
WTCHG_406782_244150	406782	244150	ORA00016	3389983	2
WTCHG_406782_245138	406782	245138	BHM00091	3508814	2
WTCHG_406782_246126	406782	246126	OAS00039	3921878	2
WTCHG_406782_247114	406782	247114	OAS00054	3214877	2
WTCHG_406782_248102	406782	248102	NCL00026	3786534	2
WTCHG_406782_249185	406782	249185	JIA00031	3690090	2
WTCHG_406782_250173	406782	250173	JIA00046	3183364	2
WTCHG_406782_251161	406782	251161	JIA00040	3404925	2
WTCHG_406782_252149	406782	252149	ORA00027	4131604	2
WTCHG_406782_253137	406782	253137	BHM00138	3240930	2
WTCHG_406782_254125	406782	254125	BHM00121	3937812	2
WTCHG_406782_255113	406782	255113	OAS00065	2926806	2
WTCHG_406782_256101	406782	256101	NCL00028	3801560	2
WTCHG_406782_257196	406782	257196	JIA00002	3741176	2
WTCHG_406782_258184	406782	258184	JIA00032	2919639	2
WTCHG_406782_259172	406782	259172	BHM00074	1371697	2
WTCHG_406782_260160	406782	260160	JIA00047	1264486	2
WTCHG_406782_261148	406782	261148	JIA00053	519679	2
WTCHG_406782_262136	406782	262136	BHM00139	3079927	2
WTCHG_406782_263124	406782	263124	BHM00140	3343252	2
WTCHG_406782_264112	406782	264112	NCL00020	3209907	2
WTCHG_406782_265195	406782	265195	OAS00004	3242949	2
WTCHG_406782_266183	406782	266183	JIA00019	3597259	2
WTCHG_406782_267171	406782	267171	BHM00113	3044492	2
WTCHG_406782_268159	406782	268159	JIA00048	3435219	2
WTCHG_406782_269147	406782	269147	OAS00008	3126170	2
WTCHG_406782_270135	406782	270135	JIA00055	2939031	2
WTCHG_406782_271123	406782	271123	JIA00054	2758136	2
WTCHG_406782_272111	406782	272111	BHM00126	3106882	2
WTCHG_406782_273194	406782	273194	JIA00003	3988650	2
WTCHG_406782_274182	406782	274182	JIA00025	3140187	2
WTCHG_406782_275170	406782	275170	BHM00114	3609082	2
WTCHG_406782_276158	406782	276158	JIA00050	2671873	2
WTCHG_406782_277146	406782	277146	OAS00011	3065122	2
WTCHG_406782_278134	406782	278134	JIA00057	3001052	2
WTCHG_406782_279122	406782	279122	MUS00011	2828313	2
WTCHG_406782_280110	406782	280110	NCL00008	2929719	2
WTCHG_406782_281193	406782	281193	JIA00004	3341629	2
WTCHG_406782_282181	406782	282181	JIA00028	2965574	2
WTCHG_406782_283169	406782	283169	BHM00116	2863261	2
WTCHG_406782_284157	406782	284157	OAS00012	0	2
WTCHG_406782_285145	406782	285145	OAS00015	3014260	2
WTCHG_406782_286133	406782	286133	JIA00059	1056255	2
WTCHG_406782_287121	406782	287121	NCL00016	3048794	2
WTCHG_406782_288109	406782	288109	BHM00125	2964322	2
WTCHG_406782_289192	406782	289192	JIA00015	3490136	2
WTCHG_406782_290180	406782	290180	OAS00001	3229080	2
WTCHG_406782_291168	406782	291168	BHM00117	3531621	2
WTCHG_406782_292156	406782	292156	OAS00018	25176319	2
WTCHG_406782_293144	406782	293144	OAS00034	3224256	2
WTCHG_406782_294132	406782	294132	MUS00015	3623024	2
WTCHG_406782_295120	406782	295120	NCL00017	3443683	2
WTCHG_406782_296108	406782	296108	BHM00162	3825772	2
WTCHG_413843_201191	413843	201191	JIA00016	3409310	2
WTCHG_413843_202179	413843	202179	OAS00005	3424196	2
WTCHG_413843_203167	413843	203167	BHM00118	6638855	2
WTCHG_413843_204155	413843	204155	OAS00019	3007319	2
WTCHG_413843_205143	413843	205143	OAS00035	2898101	2
WTCHG_413843_206131	413843	206131	NCL00001	3395466	2
WTCHG_413843_207119	413843	207119	OAS00023	3615907	2
WTCHG_413843_208107	413843	208107	JIA00062	3226626	2
WTCHG_413843_209190	413843	209190	OAS00013	3435525	2
WTCHG_413843_210178	413843	210178	ORA00001	3286077	2
WTCHG_413843_211166	413843	211166	BHM00127	3480764	2
WTCHG_413843_212154	413843	212154	OAS00022	2598199	2
WTCHG_413843_213142	413843	213142	ORA00013	3579573	2
WTCHG_413843_214130	413843	214130	NCL00003	6986003	2
WTCHG_413843_215118	413843	215118	OAS00037	2734154	2
WTCHG_413843_216106	413843	216106	JIA00063	1366815	2
WTCHG_413843_217189	413843	217189	JIA00001	2903792	2
WTCHG_413843_218177	413843	218177	JIA00034	920	2
WTCHG_413843_219165	413843	219165	BHM00130	3345838	2
WTCHG_413843_220153	413843	220153	OAS00040	3141928	2
WTCHG_413843_221141	413843	221141	ORA00019	3809314	2
WTCHG_413843_222129	413843	222129	NCL00004	3637372	2
WTCHG_413843_223117	413843	223117	OAS00049	3776343	2
WTCHG_413843_224105	413843	224105	NCL00023	4002784	2
WTCHG_413843_225188	413843	225188	JIA00026	3382730	2
WTCHG_413843_226176	413843	226176	JIA00035	3374291	2
WTCHG_413843_227164	413843	227164	BHM00131	3010581	2
WTCHG_413843_228152	413843	228152	ORA00004	3944967	2
WTCHG_413843_229140	413843	229140	ORA00022	3932997	2
WTCHG_413843_230128	413843	230128	OAS00024	3316626	2
WTCHG_413843_231116	413843	231116	OAS00052	3370010	2
WTCHG_413843_232104	413843	232104	NCL00024	3730022	2
WTCHG_413843_233187	413843	233187	JIA00027	3274539	2
WTCHG_413843_234175	413843	234175	JIA00037	3411738	2
WTCHG_413843_235163	413843	235163	BHM00132	4159653	2
WTCHG_413843_236151	413843	236151	ORA00007	3354863	2
WTCHG_413843_237139	413843	237139	ORA00028	3734730	2
WTCHG_413843_238127	413843	238127	OAS00028	3956704	2
WTCHG_413843_239115	413843	239115	OAS00053	3115510	2
WTCHG_413843_240103	413843	240103	NCL00025	3110734	2
WTCHG_413843_241186	413843	241186	OAS00014	3729001	2
WTCHG_413843_242174	413843	242174	JIA00043	3416601	2
WTCHG_413843_243162	413843	243162	JIA00029	4265498	2
WTCHG_413843_244150	413843	244150	ORA00016	3483468	2
WTCHG_413843_245138	413843	245138	BHM00091	3657705	2
WTCHG_413843_246126	413843	246126	OAS00039	4093064	2
WTCHG_413843_247114	413843	247114	OAS00054	3312043	2
WTCHG_413843_248102	413843	248102	NCL00026	3816107	2
WTCHG_413843_249185	413843	249185	JIA00031	3860056	2
WTCHG_413843_250173	413843	250173	JIA00046	3307725	2
WTCHG_413843_251161	413843	251161	JIA00040	3471173	2
WTCHG_413843_252149	413843	252149	ORA00027	4234203	2
WTCHG_413843_253137	413843	253137	BHM00138	3391060	2
WTCHG_413843_254125	413843	254125	BHM00121	4088994	2
WTCHG_413843_255113	413843	255113	OAS00065	3057854	2
WTCHG_413843_256101	413843	256101	NCL00028	3949478	2
WTCHG_413843_257196	413843	257196	JIA00002	3844245	2
