WTCHG	seqID	indexingID	sampleID	count	batch
WTCHG_441199_201106	441199	201106	B1010V6	1345979	3
WTCHG_441199_201191	441199	201191	B1030V4	1178465	3
WTCHG_441199_202118	441199	202118	B1010V7	1721383	3
WTCHG_441199_202179	441199	202179	B1030V5	1245966	3
WTCHG_441199_203130	441199	203130	B1012V1	1934788	3
WTCHG_441199_203167	441199	203167	B1030V6	1878706	3
WTCHG_441199_204142	441199	204142	B1012V2	1712302	3
WTCHG_441199_204155	441199	204155	B1030V7	1594178	3
WTCHG_441199_205143	441199	205143	B1039V2	1930123	3
WTCHG_441199_205154	441199	205154	B1012V3	1384904	3
WTCHG_441199_206131	441199	206131	B1039V3	1806166	3
WTCHG_441199_206166	441199	206166	B1012V4	1552369	3
WTCHG_441199_207119	441199	207119	B1039V4	1667143	3
WTCHG_441199_207178	441199	207178	B1012V5	1829226	3
WTCHG_441199_208107	441199	208107	B1039V5	1414515	3
WTCHG_441199_208190	441199	208190	B1012V6	1618615	3
WTCHG_441199_209107	441199	209107	B1012V7	1481908	3
WTCHG_441199_209190	441199	209190	B1039V6	1714151	3
WTCHG_441199_210119	441199	210119	B1017V1	1408986	3
WTCHG_441199_210178	441199	210178	B1039V7	1547167	3
WTCHG_441199_211131	441199	211131	B1017V2	3016247	3
WTCHG_441199_211166	441199	211166	B1021V1	1655197	3
WTCHG_441199_212143	441199	212143	B1017V3	1598472	3
WTCHG_441199_212154	441199	212154	B1021V5	306635	3
WTCHG_441199_213142	441199	213142	B1021V7	1545356	3
WTCHG_441199_213155	441199	213155	B1017V4	1610352	3
WTCHG_441199_214130	441199	214130	B1006V1	1861658	3
WTCHG_441199_214167	441199	214167	B1017V5	1684409	3
WTCHG_441199_215118	441199	215118	B1006V2	1312759	3
WTCHG_441199_215179	441199	215179	B1017V6	1551201	3
WTCHG_441199_216106	441199	216106	B1006V4	1245523	3
WTCHG_441199_216191	441199	216191	B1018V1	1169056	3
WTCHG_441199_217108	441199	217108	B1018V2	1435590	3
WTCHG_441199_217189	441199	217189	B1006V5	1384768	3
WTCHG_441199_218120	441199	218120	B1018V3	1446269	3
