WTCHG	seqID	indexingID	sampleID	count	batch
WTCHG_461233_201190	461233	201190	BHM00174	3388426	4
WTCHG_461233_202178	461233	202178	BHM00175	4107643	4
WTCHG_461233_203166	461233	203166	BHM00176	3175831	4
WTCHG_461233_204154	461233	204154	BHM00177	3207061	4
WTCHG_461233_205142	461233	205142	BHM00179	3076597	4
WTCHG_461233_206130	461233	206130	BHM00188	3239228	4
WTCHG_461233_207118	461233	207118	OAS00025	3266133	4
WTCHG_461233_208106	461233	208106	OAS00032	3034615	4
WTCHG_461233_209189	461233	209189	OAS00057	3674486	4
WTCHG_461233_210177	461233	210177	UCL00020	3995168	4
WTCHG_461233_211165	461233	211165	UCL00023	3836195	4
WTCHG_461233_212153	461233	212153	BHM00198	3095078	4
WTCHG_461233_213141	461233	213141	BHM00199	3788101	4
WTCHG_461233_214129	461233	214129	BHM00208	3318214	4
WTCHG_461233_215117	461233	215117	OAS00073	2760630	4
WTCHG_461233_216105	461233	216105	OAS00078	3321350	4
WTCHG_461233_217188	461233	217188	ORA00032	3251189	4
WTCHG_461233_218176	461233	218176	UCL00022	3801709	4
WTCHG_461233_219164	461233	219164	BHM00141	3020523	4
WTCHG_461233_220152	461233	220152	BHM00178	3664857	4
WTCHG_461233_221140	461233	221140	BHM00190	3530882	4
WTCHG_461233_222128	461233	222128	BHM00196	3964702	4
WTCHG_461233_223116	461233	223116	BHM00197	3306805	4
WTCHG_461233_224104	461233	224104	BHM00202	3961235	4
WTCHG_461233_225187	461233	225187	BHM00205	3676312	4
WTCHG_461233_226175	461233	226175	BHM00207	4741910	4
WTCHG_461233_227163	461233	227163	BHM00224	2850631	4
WTCHG_461233_228151	461233	228151	BHM00227	3581133	4
WTCHG_461233_229139	461233	229139	BHM00193	4046983	4
WTCHG_461233_230127	461233	230127	JIA00077	3771927	4
WTCHG_461233_231115	461233	231115	OAS00069	3272023	4
WTCHG_461233_232103	461233	232103	OAS00070	3525541	4
WTCHG_461233_233186	461233	233186	OAS00077	3997169	4
WTCHG_461233_234174	461233	234174	OAS00083	3948197	4
WTCHG_461233_235162	461233	235162	BHM00191	4745639	4
WTCHG_461233_236150	461233	236150	BHM00201	3352451	4
WTCHG_461233_237138	461233	237138	BHM00206	4042062	4
WTCHG_461233_238126	461233	238126	BHM00211	1493957	4
WTCHG_461233_239114	461233	239114	BHM00212	3064307	4
WTCHG_461233_240102	461233	240102	BHM00213	3373293	4
WTCHG_461233_241185	461233	241185	BHM00216	4304630	4
WTCHG_461233_242173	461233	242173	BHM00229	4187897	4
WTCHG_461233_243161	461233	243161	BHM00238	4154385	4
WTCHG_461233_244149	461233	244149	OAS00080	3249668	4
WTCHG_461233_245137	461233	245137	NCL00035	3656365	4
WTCHG_461233_246125	461233	246125	NCL00058	4067847	4
WTCHG_461233_247113	461233	247113	NCL00043	3614333	4
WTCHG_461233_248101	461233	248101	NCL00044	3461829	4
WTCHG_461233_249196	461233	249196	NCL00029	3387623	4
WTCHG_461233_250184	461233	250184	NCL00030	3218756	4
WTCHG_461233_251172	461233	251172	NCL00032	2486621	4
WTCHG_461233_252160	461233	252160	NCL00034	3583279	4
WTCHG_461233_253148	461233	253148	OAS00063	3363398	4
WTCHG_461233_254136	461233	254136	BHM00154	3391623	4
WTCHG_461233_255124	461233	255124	MUS00007	3056707	4
WTCHG_461233_256112	461233	256112	OAS00041	3320927	4
WTCHG_461233_257195	461233	257195	BHM00146	3856433	4
WTCHG_461233_258183	461233	258183	BHM00157	3333974	4
WTCHG_461233_259171	461233	259171	JIA00024	2985390	4
WTCHG_461233_260159	461233	260159	JIA00039	3077476	4
WTCHG_461233_261147	461233	261147	OAS00029	3591727	4
WTCHG_461233_262135	461233	262135	OAS00046	3707723	4
WTCHG_461233_263123	461233	263123	OAS00048	2967517	4
WTCHG_461233_264111	461233	264111	BHM00149	3362445	4
WTCHG_461233_265194	461233	265194	JIA00070	3974345	4
WTCHG_461233_266182	461233	266182	BHM00158	3948838	4
WTCHG_461233_267170	461233	267170	JIA00069	3243774	4
WTCHG_461233_268158	461233	268158	JIA00071	3717114	4
WTCHG_461233_269146	461233	269146	OAS00044	3408948	4
WTCHG_461233_270134	461233	270134	UCL00008	3000338	4
WTCHG_461233_271122	461233	271122	BHM00159	2680803	4
WTCHG_461233_272110	461233	272110	BHM00160	3563367	4
WTCHG_461233_273193	461233	273193	BHM00163	4485049	4
WTCHG_461233_274181	461233	274181	BHM00164	3377782	4
WTCHG_461233_275169	461233	275169	BHM00165	3122670	4
WTCHG_461233_276157	461233	276157	BHM00167	3001220	4
WTCHG_461233_277145	461233	277145	BHM00168	2869876	4
WTCHG_461233_278133	461233	278133	BHM00169	3237402	4
WTCHG_461233_279121	461233	279121	BHM00182	2819495	4
WTCHG_461233_280109	461233	280109	JIA00052	1949038	4
WTCHG_461233_281192	461233	281192	OAS00056	4169724	4
WTCHG_461233_282180	461233	282180	BHM00171	3287876	4
WTCHG_461233_283168	461233	283168	BHM00180	3007071	4
WTCHG_461233_284156	461233	284156	BHM00181	3844503	4
WTCHG_461233_285144	461233	285144	BHM00184	3276980	4
WTCHG_461233_286132	461233	286132	BHM00185	3385466	4
WTCHG_461233_287120	461233	287120	OAS00021	3578757	4
WTCHG_461233_288108	461233	288108	UCL00014	2352108	4
WTCHG_461233_289191	461233	289191	UCL00016	4074853	4
WTCHG_461233_290179	461233	290179	UCL00019	3292584	4
WTCHG_461233_291167	461233	291167	BHM00170	3721859	4
WTCHG_461233_292155	461233	292155	BHM00183	3370685	4
WTCHG_461233_293143	461233	293143	BHM00187	579680	4
WTCHG_461233_294131	461233	294131	JIA00076	3642532	4
WTCHG_461233_295119	461233	295119	OAS00055	3527624	4
WTCHG_461233_296107	461233	296107	OAS00059	3114897	4
WTCHG_467589_201190	467589	201190	BHM00174	3067617	4
WTCHG_467589_202178	467589	202178	BHM00175	3712977	4
WTCHG_467589_203166	467589	203166	BHM00176	2884376	4
WTCHG_467589_204154	467589	204154	BHM00177	2914445	4
WTCHG_467589_205142	467589	205142	BHM00179	2802826	4
WTCHG_467589_206130	467589	206130	BHM00188	2991256	4
WTCHG_467589_207118	467589	207118	OAS00025	2952521	4
WTCHG_467589_208106	467589	208106	OAS00032	2703490	4
WTCHG_467589_209189	467589	209189	OAS00057	3280664	4
WTCHG_467589_210177	467589	210177	UCL00020	3616694	4
WTCHG_467589_211165	467589	211165	UCL00023	3500057	4
