WTCHG	lane_id	seq_id	sampleID	count	batch
WTCHG_481247_201190	481247	201190	UCL00017	3930200	5
WTCHG_481247_202178	481247	202178	UCL00027	4359083	5
WTCHG_481247_203166	481247	203166	UCL00028	3501222	5
WTCHG_481247_204154	481247	204154	UCL00029	3396416	5
WTCHG_481247_205142	481247	205142	NCL00045	3129530	5
WTCHG_481247_206130	481247	206130	NCL00047	3661029	5
WTCHG_481247_207118	481247	207118	NCL00048	3668784	5
WTCHG_481247_208106	481247	208106	NCL00052	3548547	5
WTCHG_481247_209189	481247	209189	NCL00058	3979367	5
WTCHG_481247_210177	481247	210177	NCL00059	3789991	5
WTCHG_481247_211165	481247	211165	NCL00061	3670001	5
WTCHG_481247_212153	481247	212153	NCL00062	3636349	5
WTCHG_481247_213141	481247	213141	NCL00063	3664155	5
WTCHG_481247_214129	481247	214129	NCL00064	3305552	5
WTCHG_481247_215117	481247	215117	NCL00066	3456389	5
WTCHG_481247_216105	481247	216105	NCL00068	3164412	5
WTCHG_481247_217188	481247	217188	NCL00070	3251666	5
WTCHG_481247_218176	481247	218176	NCL00071	3336667	5
WTCHG_481247_219164	481247	219164	NCL00072	3320837	5
WTCHG_481247_220152	481247	220152	NCL00073	3831628	5
WTCHG_481247_221140	481247	221140	NCL00075	3798460	5
WTCHG_481247_222128	481247	222128	NCL00076	3162528	5
WTCHG_481247_223116	481247	223116	NCL00077	3810572	5
WTCHG_481247_224104	481247	224104	NCL00078	4115696	5
WTCHG_481247_225187	481247	225187	NCL00080	4171376	5
WTCHG_481247_226175	481247	226175	NCL00082	4095536	5
WTCHG_481247_227163	481247	227163	NCL00083	2826325	5
WTCHG_481247_228151	481247	228151	NCL00088	3529301	5
WTCHG_481247_229139	481247	229139	NCL00089	3573357	5
WTCHG_481247_230127	481247	230127	NCL00090	3489101	5
WTCHG_481247_231115	481247	231115	NCL00092	3067511	5
WTCHG_481247_232103	481247	232103	NCL00093	4006234	5
WTCHG_481247_233186	481247	233186	NCL00094	3891530	5
WTCHG_481247_234174	481247	234174	NCL00095	3538612	5
WTCHG_481247_235162	481247	235162	NCL00096	3600878	5
WTCHG_481247_236150	481247	236150	NCL00097	3575945	5
WTCHG_481247_237138	481247	237138	NCL00098	3993956	5
WTCHG_481247_238126	481247	238126	NCL00099	3600710	5
WTCHG_481247_239114	481247	239114	NCL00100	3372782	5
WTCHG_481247_240102	481247	240102	NCL00101	3475710	5
WTCHG_481247_241185	481247	241185	NCL00102	4237283	5
WTCHG_481247_242173	481247	242173	NCL00103	3674886	5
WTCHG_481247_243161	481247	243161	NCL00106	3838279	5
WTCHG_481247_244149	481247	244149	NCL00107	3532336	5
WTCHG_481247_245137	481247	245137	NCL00108	4438295	5
WTCHG_481247_246125	481247	246125	NCL00109	4949029	5
WTCHG_481247_247113	481247	247113	NCL00111	2969767	5
WTCHG_481247_248101	481247	248101	NCL00113	3373564	5
WTCHG_481247_249196	481247	249196	BHM00203	2811608	5
WTCHG_481247_250184	481247	250184	BHM00204	3251225	5
WTCHG_481247_251172	481247	251172	BHM00215	2935904	5
WTCHG_481247_252160	481247	252160	BHM00217	3785490	5
WTCHG_481247_253148	481247	253148	BHM00218	3697712	5
WTCHG_481247_254136	481247	254136	BHM00220	4207422	5
WTCHG_481247_255124	481247	255124	BHM00225	3710526	5
WTCHG_481247_256112	481247	256112	BHM00231	3740896	5
WTCHG_481247_257195	481247	257195	BHM00233	7048101	5
