filename	lane_id	seq_id	sample_id	Count	batch
WTCHG_606184_201106	606184	201106	UCL00051	3415658	7
WTCHG_606184_202118	606184	202118	UCL00053	3725292	7
WTCHG_606184_203130	606184	203130	UCL00054	3455675	7
WTCHG_606184_204142	606184	204142	UCL00055	3064136	7
WTCHG_606184_205154	606184	205154	UCL00057	2998211	7
WTCHG_606184_206166	606184	206166	UCL00058	3096608	7
WTCHG_606184_207178	606184	207178	UCL00060	3490575	7
WTCHG_606184_208190	606184	208190	UCL00062	3252623	7
WTCHG_606184_209107	606184	209107	JIA00120	3212745	7
WTCHG_606184_210119	606184	210119	JIA00121	3553188	7
WTCHG_606184_211131	606184	211131	JIA00113	3431627	7
WTCHG_606184_212143	606184	212143	JIA00125	3505126	7
WTCHG_606184_213155	606184	213155	JIA00122	3485105	7
WTCHG_606184_214167	606184	214167	JIA00117	3231480	7
WTCHG_606184_215179	606184	215179	JIA00123	2897932	7
WTCHG_606184_216191	606184	216191	JIA00111	3320776	7
WTCHG_606184_217108	606184	217108	UCL00063	2763052	7
WTCHG_606184_218120	606184	218120	BHM00291	327296	7
WTCHG_606184_219132	606184	219132	BHM00309	3419271	7
WTCHG_606184_220144	606184	220144	BHM00311	3193013	7
WTCHG_606184_221156	606184	221156	BHM00318	1063668	7
WTCHG_606184_222168	606184	222168	BHM00319	2969628	7
WTCHG_606184_223180	606184	223180	BHM00320	3925713	7
WTCHG_606184_224192	606184	224192	BHM00321	3196033	7
WTCHG_606184_225109	606184	225109	BHM00322	3075153	7
WTCHG_606184_226121	606184	226121	BHM00324	3145878	7
WTCHG_606184_227133	606184	227133	BHM00325	528804	7
WTCHG_606184_228145	606184	228145	BHM00326	3705414	7
WTCHG_606184_229157	606184	229157	BHM00327	3285623	7
WTCHG_606184_230169	606184	230169	BHM00332	23869078	7
WTCHG_606184_231181	606184	231181	BHM00333	3494979	7
WTCHG_606184_232193	606184	232193	BHM00341	3792229	7
WTCHG_606184_233110	606184	233110	BHM00342	2942038	7
WTCHG_606184_234122	606184	234122	BHM00344	2913920	7
WTCHG_606184_235134	606184	235134	BHM00345	3089267	7
WTCHG_606184_236146	606184	236146	BHM00304	3684867	7
WTCHG_606184_237158	606184	237158	BHM00347	4035114	7
WTCHG_606184_238170	606184	238170	BHM00334	3064645	7
WTCHG_606184_239182	606184	239182	BHM00350	3660607	7
WTCHG_606184_240194	606184	240194	BHM00337	3469113	7
WTCHG_606184_241111	606184	241111	BHM00336	3991253	7
WTCHG_606184_242123	606184	242123	NCL00170	3812602	7
WTCHG_606184_243135	606184	243135	NCL00198	3414146	7
WTCHG_606184_244147	606184	244147	NCL00199	3588698	7
WTCHG_606184_245159	606184	245159	NCL00200	3821717	7
WTCHG_606184_246171	606184	246171	NCL00203	5	7
WTCHG_606184_247183	606184	247183	NCL00205	3426166	7
WTCHG_606184_248195	606184	248195	NCL00206	3317303	7
WTCHG_606184_249112	606184	249112	NCL00209	3419563	7
WTCHG_606184_250124	606184	250124	NCL00210	3452138	7
WTCHG_606184_251136	606184	251136	NCL00211	3209795	7
WTCHG_606184_252148	606184	252148	NCL00212	2197571	7
WTCHG_606184_253160	606184	253160	NCL00214	4269587	7
WTCHG_606184_254172	606184	254172	NCL00215	3462198	7
WTCHG_606184_255184	606184	255184	NCL00216	3714742	7
WTCHG_606184_256196	606184	256196	NCL00217	3288814	7
WTCHG_606184_257101	606184	257101	OAS00102	2653136	7
WTCHG_606184_258113	606184	258113	OAS00107	2822059	7
